pop	superpop	fam	x	y	country	comment
Tolai	Oceania	Papuan	152.14	-4.31	PapuaNewGuinea	Sko16 NP
Mengen	Oceania	Austronesian	151.4	-5.1	PapuaNewGuinea	Sko16 NP
Mamusi	Oceania	Austronesian	151	-6	PapuaNewGuinea	Sko16 NP
Mamusi_Paleabu	Oceania	Austronesian	150.9	-5.95	PapuaNewGuinea	Sko16 NP
Nakanai_Loso	Oceania	Austronesian	150.8	-5.48	PapuaNewGuinea	Sko16 NP
Ata	Oceania	Papuan	150.9	-5.7	PapuaNewGuinea	Sko16 NP
Sulka	Oceania	Papuan	152.3	-4.5	PapuaNewGuinea	Sko16 NP
Kol_New_Britain	Oceania	Papuan	151.63	-5.38	PapuaNewGuinea	Sko16 NP
Baining_Malasait	Oceania	Papuan	151.9	-4.47	PapuaNewGuinea	Sko16 NP
Baining_Marabu	Oceania	Papuan	152.3	-4.63	PapuaNewGuinea	Sko16 NP
Papuan	Oceania	Papuan	143	-4	PapuaNewGuinea	Laz14; HGDP
